date,open,close,avg_hl,volume
2024-10-25,234.45,231.41,232.305,197299834
2024-11-01,233.32,222.91,227.5,248222115
2024-11-08,220.99,226.96,224.185,208083442
2024-11-15,225.0,225.0,225.185,223817755
2024-11-22,225.25,229.87,227.94495,196343939
2024-11-29,231.46,237.33,233.775,198118837
2024-12-06,237.27,242.84,240.89499999999998,208286552
2024-12-13,241.83,248.13,246.275,192702674
2024-12-20,247.99,254.49,250.345,368202745
2024-12-27,254.77,255.59,256.58000000000004,133711783
2025-01-03,252.23,243.36,247.66005,171023105
2025-01-10,244.31,236.85,240.16500000000002,185241327
2025-01-17,233.53,229.98,233.495,269145341
2025-01-24,224.0,222.78,223.20499999999998,277129596
2025-01-31,224.02,236.0,235.58499999999998,372790494
2025-02-07,229.99,227.63,229.85,227428164
2025-02-14,229.57,244.6,236.375,226587580
2025-02-21,244.15,245.55,245.265,166541044
2025-02-28,244.925,241.84,240.1,241760231
2025-03-07,241.79,239.07,236.6286,239653674
2025-03-14,235.54,213.49,222.29,331612070
2025-03-21,213.31,218.27,214.405,287881958
2025-03-28,221.0,217.9,221.35000000000002,190239113
2025-04-04,217.005,188.38,206.48000000000002,366947884
2025-04-08,177.2,172.42,181.68005,280027119
2025-04-11,177.2,198.15,184.91005,675037558
